Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach
Role643,31,female,Scientist,Traditional,Informal,Reading,Graduate Degree,African,Mandarin,Intermediate,Mixed,Active,Environmentalism,In a relationship,Middle income,Health-conscious,Full-time,Creative
Role644,53,nondisclosed,Retired,Traditional,Formal,Traveling,Graduate Degree,Western,French,Expert,Mixed,Sedentary,Atheism,Single,Low income,Average health,Full-time,Collaborative
Role645,52,male,Artist,Innovative,Mixed,Sports,Bachelor,Eastern,Mandarin,Intermediate,Text,Sedentary,Islam,Divorced,Middle income,Health-conscious,Full-time,Practical
Role646,25,nondisclosed,Scientist,Traditional,Formal,Painting,Graduate Degree,Middle Eastern,English,Intermediate,Text,Active,Atheism,Widowed,Middle income,Healthy,Sporadic,Creative
Role647,67,genderqueer,Doctor,Innovative,Humorous,Painting,High School,Western,Spanish,Novice,Mixed,Sedentary,Christianity,Married,Low income,Healthy,Part-time,Creative
Role648,56,genderqueer,Artist,Extroverted,Humorous,Cooking,Bachelor,African,Spanish,Novice,Text,Sedentary,Humanism,Single,Low income,Healthy,Sporadic,Analytical
Role649,74,female,Retired,Traditional,Formal,Cooking,Bachelor,Middle Eastern,French,Intermediate,Mixed,Active,Humanism,Divorced,High income,Health-conscious,Part-time,Collaborative
Role650,66,female,Retired,Introverted,Empathetic,Video Games,High School,Middle Eastern,French,Expert,Video,Sedentary,Atheism,Married,High income,Healthy,Full-time,Analytical
Role651,65,nondisclosed,Student,Extroverted,Formal,Video Games,Bachelor,African,Spanish,Novice,Mixed,Sedentary,Humanism,Divorced,High income,Average health,Full-time,Practical
Role652,56,genderqueer,Scientist,Innovative,Formal,Reading,Bachelor,Middle Eastern,Spanish,Intermediate,Text,Active,Atheism,In a relationship,High income,Healthy,Full-time,Practical
Role653,31,male,Teacher,Introverted,Direct,Reading,High School,Middle Eastern,Spanish,Intermediate,Mixed,Active,Humanism,Single,High income,Healthy,Part-time,Practical
Role654,48,nondisclosed,Doctor,Extroverted,Humorous,Reading,Bachelor,African,Mandarin,Expert,Video,Sedentary,Environmentalism,Divorced,Middle income,Healthy,Sporadic,Creative
Role655,19,female,Doctor,Innovative,Empathetic,Cooking,Bachelor,African,English,Novice,Voice,Sedentary,Atheism,Divorced,Middle income,Average health,Sporadic,Creative
Role656,79,male,Scientist,Innovative,Empathetic,Cooking,Bachelor,Middle Eastern,French,Novice,Video,Sedentary,Environmentalism,Divorced,Middle income,Average health,Full-time,Analytical
Role657,75,male,Doctor,Extroverted,Formal,Cooking,Bachelor,Middle Eastern,French,Intermediate,Text,Active,Environmentalism,Divorced,Low income,Average health,Part-time,Collaborative
Role658,31,nondisclosed,Artist,Introverted,Formal,Cooking,Bachelor,African,English,Novice,Video,Active,Atheism,Widowed,Low income,Average health,Full-time,Practical
Role659,34,female,Artist,Extroverted,Mixed,Cooking,Bachelor,Eastern,Spanish,Novice,Mixed,Active,Humanism,Married,Middle income,Healthy,Full-time,Analytical
Role660,64,nondisclosed,Engineer,Innovative,Humorous,Reading,High School,Western,English,Expert,Video,Active,Atheism,Widowed,Middle income,Healthy,Full-time,Creative
Role661,50,genderqueer,Scientist,Extroverted,Humorous,Video Games,Bachelor,Eastern,Spanish,Expert,Text,Active,Atheism,Divorced,Middle income,Average health,Part-time,Collaborative
Role662,53,male,Teacher,Traditional,Informal,Painting,Graduate Degree,African,Mandarin,Expert,Voice,Active,Islam,In a relationship,Middle income,Health-conscious,Full-time,Creative
Role663,31,nondisclosed,Doctor,Extroverted,Humorous,Traveling,High School,Eastern,Mandarin,Expert,Text,Sedentary,Atheism,In a relationship,Low income,Healthy,Full-time,Collaborative
Role664,75,female,Doctor,Traditional,Empathetic,Traveling,Graduate Degree,Western,English,Expert,Voice,Active,Atheism,Widowed,High income,Average health,Sporadic,Practical
Role665,35,genderqueer,Doctor,Introverted,Informal,Video Games,Graduate Degree,Middle Eastern,Mandarin,Expert,Voice,Active,Christianity,Divorced,Low income,Health-conscious,Full-time,Collaborative
Role666,64,male,Artist,Innovative,Humorous,Video Games,High School,Western,English,Novice,Video,Sedentary,Environmentalism,Widowed,High income,Healthy,Part-time,Collaborative
Role667,21,male,Engineer,Traditional,Empathetic,Sports,Graduate Degree,African,English,Expert,Voice,Sedentary,Atheism,Single,High income,Health-conscious,Part-time,Creative
Role668,24,female,Retired,Innovative,Empathetic,Video Games,High School,Western,English,Intermediate,Voice,Sedentary,Christianity,Divorced,Middle income,Healthy,Full-time,Analytical
Role669,31,genderqueer,Scientist,Extroverted,Formal,Reading,Bachelor,Eastern,French,Expert,Mixed,Sedentary,Christianity,Married,High income,Health-conscious,Sporadic,Practical
Role670,80,male,Artist,Extroverted,Informal,Cooking,Graduate Degree,African,Spanish,Novice,Voice,Sedentary,Christianity,Single,Low income,Average health,Sporadic,Collaborative
Role671,58,genderqueer,Artist,Traditional,Empathetic,Traveling,Graduate Degree,Eastern,Spanish,Novice,Mixed,Sedentary,Humanism,Divorced,Low income,Health-conscious,Sporadic,Practical
Role672,42,female,Scientist,Traditional,Informal,Sports,Bachelor,Western,English,Novice,Text,Sedentary,Islam,Divorced,Middle income,Health-conscious,Part-time,Collaborative
Role673,59,genderqueer,Engineer,Introverted,Direct,Traveling,Bachelor,Western,Mandarin,Novice,Voice,Active,Christianity,Divorced,High income,Health-conscious,Part-time,Practical
Role674,64,nondisclosed,Scientist,Traditional,Formal,Sports,High School,Eastern,Mandarin,Intermediate,Mixed,Sedentary,Atheism,In a relationship,Middle income,Health-conscious,Part-time,Collaborative
Role675,59,female,Scientist,Traditional,Informal,Painting,Graduate Degree,Middle Eastern,Spanish,Intermediate,Video,Active,Christianity,Widowed,Middle income,Health-conscious,Full-time,Creative
Role676,58,female,Engineer,Extroverted,Formal,Reading,Graduate Degree,Western,French,Expert,Text,Sedentary,Islam,Single,Middle income,Healthy,Part-time,Practical
Role677,67,male,Engineer,Extroverted,Direct,Sports,High School,African,Spanish,Intermediate,Text,Sedentary,Atheism,In a relationship,Middle income,Healthy,Full-time,Creative
Role678,77,nondisclosed,Retired,Extroverted,Direct,Painting,Graduate Degree,Western,Mandarin,Expert,Video,Sedentary,Humanism,Married,High income,Health-conscious,Sporadic,Collaborative
Role679,43,female,Teacher,Introverted,Formal,Painting,Bachelor,Middle Eastern,French,Novice,Voice,Active,Islam,Divorced,Low income,Average health,Sporadic,Collaborative
Role680,23,genderqueer,Student,Introverted,Formal,Sports,High School,Eastern,French,Novice,Voice,Sedentary,Atheism,Divorced,Low income,Healthy,Part-time,Creative
Role681,65,genderqueer,Engineer,Innovative,Direct,Traveling,Bachelor,Eastern,French,Expert,Video,Sedentary,Christianity,Divorced,High income,Health-conscious,Full-time,Creative
Role682,48,female,Engineer,Extroverted,Empathetic,Cooking,High School,Eastern,English,Intermediate,Text,Active,Atheism,Single,Low income,Health-conscious,Part-time,Analytical
Role683,49,nondisclosed,Artist,Traditional,Empathetic,Reading,Graduate Degree,Middle Eastern,French,Intermediate,Voice,Active,Environmentalism,Single,Middle income,Healthy,Full-time,Practical
Role684,38,nondisclosed,Engineer,Innovative,Informal,Traveling,Graduate Degree,Western,Mandarin,Expert,Voice,Active,Environmentalism,Widowed,Low income,Average health,Full-time,Creative
Role685,39,genderqueer,Artist,Introverted,Informal,Sports,Graduate Degree,Western,Mandarin,Novice,Mixed,Active,Environmentalism,Single,Low income,Health-conscious,Sporadic,Collaborative
Role686,31,female,Retired,Extroverted,Informal,Sports,Graduate Degree,Western,Mandarin,Intermediate,Text,Sedentary,Environmentalism,In a relationship,Middle income,Average health,Full-time,Practical
Role687,35,nondisclosed,Retired,Innovative,Empathetic,Traveling,High School,Middle Eastern,French,Intermediate,Voice,Sedentary,Islam,Divorced,Low income,Average health,Sporadic,Practical
Role688,68,female,Engineer,Traditional,Empathetic,Video Games,Graduate Degree,African,French,Novice,Text,Active,Environmentalism,Divorced,Middle income,Healthy,Sporadic,Creative
Role689,63,female,Student,Innovative,Humorous,Reading,Graduate Degree,Eastern,Spanish,Novice,Mixed,Sedentary,Atheism,Single,Middle income,Average health,Sporadic,Creative
Role690,30,female,Teacher,Introverted,Mixed,Video Games,Bachelor,Eastern,Mandarin,Expert,Video,Sedentary,Humanism,Married,Low income,Healthy,Full-time,Creative
Role691,21,female,Teacher,Traditional,Humorous,Sports,Graduate Degree,African,Spanish,Expert,Mixed,Active,Islam,Widowed,High income,Average health,Sporadic,Creative
Role692,35,male,Student,Extroverted,Informal,Reading,High School,Western,Spanish,Intermediate,Mixed,Active,Christianity,Single,High income,Average health,Full-time,Practical
Role693,62,genderqueer,Teacher,Extroverted,Formal,Reading,High School,Eastern,Spanish,Expert,Mixed,Active,Atheism,In a relationship,Low income,Average health,Sporadic,Collaborative
Role694,61,nondisclosed,Doctor,Traditional,Humorous,Sports,Graduate Degree,Middle Eastern,French,Expert,Text,Sedentary,Islam,Single,Low income,Health-conscious,Part-time,Collaborative
Role695,78,female,Teacher,Innovative,Direct,Video Games,Graduate Degree,Western,Mandarin,Novice,Video,Sedentary,Christianity,Married,Low income,Average health,Sporadic,Creative
Role696,49,nondisclosed,Engineer,Traditional,Formal,Sports,Bachelor,Middle Eastern,Spanish,Expert,Video,Active,Humanism,In a relationship,Middle income,Average health,Full-time,Creative
Role697,70,nondisclosed,Retired,Extroverted,Mixed,Traveling,High School,Middle Eastern,Mandarin,Expert,Voice,Sedentary,Humanism,Single,Low income,Health-conscious,Part-time,Practical
Role698,73,female,Retired,Innovative,Direct,Reading,Graduate Degree,Middle Eastern,Spanish,Expert,Voice,Sedentary,Islam,Single,High income,Healthy,Full-time,Creative
Role699,35,genderqueer,Teacher,Introverted,Empathetic,Traveling,Graduate Degree,Middle Eastern,Spanish,Novice,Voice,Active,Christianity,Divorced,Low income,Average health,Sporadic,Practical
Role700,27,genderqueer,Artist,Innovative,Direct,Reading,Graduate Degree,Middle Eastern,French,Intermediate,Video,Active,Christianity,Married,Middle income,Health-conscious,Part-time,Collaborative
Role701,59,nondisclosed,Teacher,Innovative,Mixed,Video Games,Graduate Degree,African,English,Expert,Video,Active,Humanism,Widowed,Low income,Healthy,Part-time,Collaborative
Role702,30,female,Doctor,Introverted,Formal,Traveling,High School,Western,Spanish,Expert,Mixed,Active,Humanism,In a relationship,Low income,Healthy,Part-time,Creative
Role703,18,genderqueer,Artist,Extroverted,Formal,Sports,High School,Middle Eastern,French,Novice,Text,Sedentary,Atheism,Widowed,Low income,Average health,Sporadic,Analytical
Role704,27,male,Student,Innovative,Informal,Sports,Graduate Degree,Western,French,Intermediate,Text,Active,Atheism,Divorced,High income,Healthy,Part-time,Creative
Role705,26,male,Doctor,Innovative,Direct,Reading,High School,Eastern,French,Expert,Mixed,Sedentary,Christianity,Divorced,Middle income,Health-conscious,Sporadic,Collaborative
Role706,22,female,Artist,Traditional,Formal,Reading,Graduate Degree,Western,French,Novice,Mixed,Active,Environmentalism,Single,Middle income,Healthy,Sporadic,Collaborative
Role707,69,nondisclosed,Teacher,Traditional,Informal,Painting,Graduate Degree,African,Spanish,Expert,Video,Sedentary,Humanism,Single,Low income,Healthy,Sporadic,Practical
Role708,71,male,Retired,Innovative,Informal,Sports,High School,Western,Spanish,Intermediate,Video,Active,Environmentalism,Single,High income,Health-conscious,Full-time,Creative
Role709,45,male,Doctor,Introverted,Mixed,Video Games,Bachelor,Western,English,Novice,Text,Sedentary,Islam,Widowed,Middle income,Average health,Sporadic,Practical
Role710,26,male,Scientist,Extroverted,Humorous,Traveling,High School,African,English,Novice,Video,Active,Christianity,Single,Middle income,Healthy,Full-time,Practical
Role711,37,genderqueer,Retired,Innovative,Direct,Traveling,Bachelor,African,French,Intermediate,Video,Active,Christianity,Widowed,Middle income,Health-conscious,Full-time,Collaborative
Role712,57,genderqueer,Scientist,Extroverted,Empathetic,Reading,Bachelor,Eastern,French,Expert,Video,Active,Environmentalism,Single,Low income,Healthy,Full-time,Analytical
Role713,70,female,Engineer,Introverted,Mixed,Painting,Graduate Degree,Middle Eastern,French,Intermediate,Video,Active,Atheism,In a relationship,Middle income,Healthy,Sporadic,Analytical
Role714,21,male,Teacher,Extroverted,Humorous,Traveling,High School,Middle Eastern,English,Expert,Voice,Sedentary,Humanism,Divorced,High income,Average health,Sporadic,Practical
Role715,43,male,Engineer,Introverted,Informal,Sports,Bachelor,Western,French,Intermediate,Video,Sedentary,Humanism,In a relationship,Low income,Average health,Part-time,Analytical
Role716,46,male,Doctor,Introverted,Empathetic,Reading,Graduate Degree,Western,Spanish,Expert,Voice,Sedentary,Islam,Single,Low income,Healthy,Full-time,Practical
Role717,38,female,Scientist,Introverted,Mixed,Painting,High School,Western,Spanish,Novice,Voice,Active,Christianity,Married,Middle income,Health-conscious,Full-time,Analytical
Role718,22,male,Scientist,Innovative,Direct,Traveling,Bachelor,Middle Eastern,French,Novice,Mixed,Sedentary,Islam,Widowed,High income,Health-conscious,Part-time,Practical
Role719,43,female,Student,Extroverted,Mixed,Traveling,Bachelor,Eastern,English,Intermediate,Video,Sedentary,Christianity,Divorced,High income,Health-conscious,Sporadic,Collaborative
Role720,35,nondisclosed,Student,Extroverted,Empathetic,Video Games,Graduate Degree,Middle Eastern,Mandarin,Novice,Mixed,Sedentary,Humanism,Widowed,Low income,Health-conscious,Sporadic,Creative
Role721,35,male,Student,Innovative,Formal,Sports,Graduate Degree,Middle Eastern,Spanish,Expert,Video,Sedentary,Environmentalism,In a relationship,High income,Healthy,Full-time,Creative
Role722,66,nondisclosed,Student,Introverted,Humorous,Sports,High School,African,Mandarin,Intermediate,Video,Sedentary,Islam,Widowed,Middle income,Healthy,Part-time,Practical
Role723,62,female,Artist,Extroverted,Direct,Cooking,Bachelor,Western,Spanish,Novice,Video,Sedentary,Environmentalism,Married,Low income,Healthy,Sporadic,Practical
Role724,34,female,Teacher,Extroverted,Humorous,Sports,Bachelor,Western,Spanish,Expert,Mixed,Active,Christianity,Single,Middle income,Healthy,Full-time,Creative
Role725,48,male,Teacher,Innovative,Informal,Painting,High School,African,Spanish,Expert,Mixed,Active,Christianity,In a relationship,Middle income,Health-conscious,Part-time,Collaborative
Role726,57,female,Doctor,Innovative,Empathetic,Video Games,Bachelor,Eastern,French,Intermediate,Video,Sedentary,Christianity,Widowed,Low income,Health-conscious,Part-time,Collaborative
Role727,44,genderqueer,Student,Traditional,Mixed,Painting,Bachelor,Western,English,Novice,Mixed,Active,Christianity,Married,Low income,Healthy,Full-time,Collaborative
Role728,79,genderqueer,Engineer,Introverted,Formal,Cooking,High School,Eastern,English,Expert,Voice,Sedentary,Atheism,Widowed,High income,Average health,Sporadic,Analytical
Role729,45,nondisclosed,Artist,Introverted,Formal,Painting,Bachelor,Eastern,English,Novice,Voice,Sedentary,Atheism,Widowed,Low income,Average health,Part-time,Creative
Role730,22,nondisclosed,Teacher,Extroverted,Formal,Painting,Graduate Degree,African,French,Novice,Mixed,Sedentary,Christianity,Married,Middle income,Healthy,Full-time,Collaborative
Role731,58,genderqueer,Teacher,Extroverted,Direct,Reading,Graduate Degree,Eastern,English,Intermediate,Video,Sedentary,Atheism,Single,High income,Healthy,Sporadic,Collaborative
Role732,58,genderqueer,Teacher,Traditional,Informal,Video Games,Graduate Degree,Middle Eastern,Spanish,Novice,Voice,Sedentary,Humanism,Divorced,High income,Average health,Full-time,Practical
Role733,38,female,Artist,Introverted,Humorous,Reading,High School,Western,English,Expert,Voice,Sedentary,Christianity,Single,High income,Healthy,Full-time,Analytical
Role734,44,female,Student,Introverted,Empathetic,Sports,Bachelor,Eastern,French,Expert,Voice,Active,Environmentalism,In a relationship,Low income,Health-conscious,Full-time,Analytical
Role735,52,male,Scientist,Traditional,Mixed,Painting,High School,Western,French,Novice,Mixed,Sedentary,Christianity,Divorced,Low income,Healthy,Sporadic,Creative
Role736,40,female,Doctor,Traditional,Humorous,Painting,Graduate Degree,Eastern,Spanish,Expert,Text,Active,Environmentalism,Single,Middle income,Average health,Sporadic,Collaborative
Role737,74,nondisclosed,Engineer,Innovative,Mixed,Cooking,High School,Western,English,Intermediate,Video,Active,Environmentalism,Single,High income,Health-conscious,Sporadic,Analytical
Role738,20,nondisclosed,Retired,Innovative,Formal,Reading,Graduate Degree,African,Mandarin,Novice,Text,Sedentary,Atheism,Single,Middle income,Average health,Part-time,Collaborative
Role739,31,female,Doctor,Introverted,Direct,Traveling,Graduate Degree,Middle Eastern,English,Novice,Video,Sedentary,Atheism,Single,High income,Average health,Full-time,Creative
Role740,65,nondisclosed,Teacher,Extroverted,Empathetic,Traveling,Bachelor,Middle Eastern,Spanish,Novice,Mixed,Sedentary,Environmentalism,In a relationship,Low income,Healthy,Part-time,Practical
Role741,46,nondisclosed,Student,Traditional,Empathetic,Video Games,Bachelor,African,Mandarin,Novice,Text,Active,Environmentalism,Single,High income,Health-conscious,Part-time,Analytical
Role742,61,male,Student,Innovative,Direct,Sports,Graduate Degree,Middle Eastern,English,Intermediate,Text,Active,Christianity,Single,Middle income,Average health,Sporadic,Practical
Role743,35,female,Artist,Introverted,Empathetic,Painting,Bachelor,Western,Mandarin,Novice,Text,Sedentary,Atheism,Divorced,Low income,Average health,Part-time,Practical
Role744,69,genderqueer,Doctor,Traditional,Mixed,Reading,Graduate Degree,Eastern,Mandarin,Novice,Voice,Active,Environmentalism,Married,High income,Health-conscious,Sporadic,Collaborative
Role745,47,male,Scientist,Introverted,Informal,Sports,Graduate Degree,Western,Spanish,Novice,Text,Active,Atheism,Single,Low income,Average health,Part-time,Creative
Role746,43,genderqueer,Engineer,Traditional,Empathetic,Painting,Graduate Degree,Middle Eastern,Mandarin,Novice,Video,Sedentary,Atheism,Married,Low income,Health-conscious,Full-time,Collaborative
Role747,37,genderqueer,Teacher,Extroverted,Direct,Painting,High School,Western,English,Novice,Text,Sedentary,Islam,Single,Middle income,Healthy,Part-time,Analytical
Role748,55,nondisclosed,Teacher,Innovative,Mixed,Sports,Bachelor,African,English,Expert,Video,Sedentary,Islam,In a relationship,High income,Health-conscious,Sporadic,Creative
Role749,40,genderqueer,Retired,Traditional,Empathetic,Sports,Graduate Degree,African,Mandarin,Novice,Text,Sedentary,Atheism,Divorced,Low income,Health-conscious,Sporadic,Collaborative
Role750,75,genderqueer,Scientist,Extroverted,Mixed,Traveling,High School,Western,Spanish,Novice,Mixed,Sedentary,Islam,Divorced,High income,Health-conscious,Part-time,Practical
Role751,27,male,Retired,Innovative,Mixed,Video Games,High School,Eastern,Mandarin,Expert,Text,Active,Humanism,Married,Middle income,Healthy,Full-time,Creative
Role752,43,nondisclosed,Teacher,Extroverted,Humorous,Cooking,Graduate Degree,Western,Spanish,Expert,Text,Sedentary,Atheism,Married,Low income,Average health,Sporadic,Creative
Role753,51,genderqueer,Retired,Introverted,Direct,Sports,High School,Western,Mandarin,Intermediate,Text,Active,Environmentalism,Married,High income,Healthy,Full-time,Analytical
Role754,36,nondisclosed,Retired,Innovative,Mixed,Painting,Bachelor,Middle Eastern,Spanish,Expert,Text,Active,Environmentalism,Divorced,Low income,Average health,Part-time,Practical
Role755,78,nondisclosed,Artist,Traditional,Formal,Painting,Graduate Degree,African,Mandarin,Novice,Voice,Active,Islam,Single,Low income,Average health,Part-time,Collaborative
Role756,49,genderqueer,Engineer,Introverted,Mixed,Video Games,Graduate Degree,African,English,Novice,Video,Sedentary,Islam,Divorced,Low income,Healthy,Full-time,Practical
Role757,46,nondisclosed,Scientist,Introverted,Informal,Traveling,High School,Eastern,Mandarin,Expert,Voice,Active,Atheism,In a relationship,Middle income,Health-conscious,Full-time,Collaborative
Role758,44,male,Scientist,Innovative,Empathetic,Video Games,High School,African,Mandarin,Intermediate,Mixed,Sedentary,Humanism,In a relationship,Low income,Healthy,Full-time,Practical
Role759,30,nondisclosed,Scientist,Traditional,Formal,Cooking,Bachelor,Eastern,French,Expert,Voice,Active,Islam,In a relationship,High income,Healthy,Part-time,Creative
Role760,27,male,Retired,Extroverted,Formal,Traveling,Graduate Degree,Eastern,English,Expert,Video,Active,Atheism,Married,High income,Health-conscious,Full-time,Creative
Role761,58,female,Student,Introverted,Humorous,Video Games,Graduate Degree,Western,French,Intermediate,Text,Active,Christianity,Widowed,Middle income,Average health,Sporadic,Practical
Role762,27,nondisclosed,Doctor,Traditional,Empathetic,Reading,High School,Middle Eastern,English,Novice,Mixed,Sedentary,Humanism,Widowed,High income,Health-conscious,Part-time,Analytical
Role763,43,genderqueer,Artist,Innovative,Formal,Painting,Graduate Degree,African,Spanish,Expert,Text,Active,Christianity,Widowed,Low income,Health-conscious,Sporadic,Creative
Role764,31,nondisclosed,Engineer,Traditional,Direct,Painting,Bachelor,Western,French,Novice,Video,Sedentary,Islam,Married,High income,Health-conscious,Full-time,Creative
Role765,21,female,Doctor,Introverted,Empathetic,Video Games,Graduate Degree,Western,Mandarin,Intermediate,Text,Active,Humanism,Divorced,Middle income,Healthy,Part-time,Creative
Role766,35,genderqueer,Teacher,Innovative,Direct,Sports,High School,Middle Eastern,English,Intermediate,Voice,Sedentary,Atheism,Married,Low income,Average health,Sporadic,Creative
Role767,62,male,Artist,Introverted,Informal,Video Games,Bachelor,Middle Eastern,Spanish,Expert,Mixed,Active,Islam,In a relationship,High income,Healthy,Full-time,Analytical
Role768,57,genderqueer,Scientist,Innovative,Formal,Traveling,Bachelor,Western,French,Intermediate,Voice,Sedentary,Atheism,Widowed,Middle income,Health-conscious,Full-time,Creative
Role769,64,female,Artist,Innovative,Direct,Traveling,Bachelor,Middle Eastern,Mandarin,Expert,Mixed,Active,Islam,Widowed,High income,Healthy,Part-time,Collaborative
Role770,70,female,Engineer,Innovative,Direct,Reading,Graduate Degree,Western,English,Intermediate,Voice,Active,Environmentalism,In a relationship,Low income,Healthy,Sporadic,Creative
Role771,34,nondisclosed,Doctor,Innovative,Empathetic,Painting,Bachelor,Western,Mandarin,Novice,Text,Active,Humanism,Married,Middle income,Healthy,Sporadic,Collaborative
Role772,65,female,Scientist,Extroverted,Empathetic,Traveling,High School,Middle Eastern,Mandarin,Novice,Text,Active,Atheism,In a relationship,Low income,Healthy,Full-time,Practical
Role773,30,genderqueer,Artist,Innovative,Humorous,Video Games,High School,Western,Mandarin,Expert,Mixed,Sedentary,Humanism,Married,Low income,Average health,Sporadic,Collaborative
Role774,35,female,Teacher,Extroverted,Formal,Traveling,High School,Middle Eastern,English,Expert,Video,Active,Christianity,Single,Middle income,Healthy,Full-time,Practical
Role775,30,nondisclosed,Engineer,Traditional,Empathetic,Video Games,Bachelor,African,English,Expert,Mixed,Sedentary,Environmentalism,Divorced,Low income,Healthy,Part-time,Creative
Role776,37,genderqueer,Retired,Innovative,Informal,Video Games,Bachelor,Western,Mandarin,Novice,Text,Sedentary,Environmentalism,Divorced,Middle income,Health-conscious,Sporadic,Creative
Role777,65,genderqueer,Retired,Innovative,Informal,Cooking,Graduate Degree,Western,Spanish,Intermediate,Voice,Sedentary,Christianity,Married,High income,Average health,Full-time,Analytical
Role778,61,male,Artist,Introverted,Humorous,Cooking,Bachelor,Eastern,Mandarin,Novice,Mixed,Active,Humanism,Widowed,Low income,Health-conscious,Full-time,Creative
Role779,52,female,Engineer,Extroverted,Humorous,Reading,Graduate Degree,Western,Mandarin,Expert,Text,Sedentary,Atheism,Widowed,Middle income,Health-conscious,Sporadic,Practical
Role780,79,nondisclosed,Student,Innovative,Informal,Video Games,Graduate Degree,African,Mandarin,Intermediate,Voice,Sedentary,Christianity,Single,Middle income,Health-conscious,Part-time,Creative
Role781,47,nondisclosed,Doctor,Introverted,Direct,Cooking,High School,Western,Mandarin,Novice,Voice,Sedentary,Environmentalism,Widowed,High income,Average health,Sporadic,Creative
Role782,36,female,Retired,Extroverted,Humorous,Reading,High School,Middle Eastern,Spanish,Expert,Voice,Active,Christianity,Single,High income,Healthy,Sporadic,Practical
Role783,18,nondisclosed,Engineer,Traditional,Direct,Painting,High School,Western,English,Novice,Text,Active,Atheism,In a relationship,Middle income,Average health,Part-time,Creative
Role784,48,nondisclosed,Student,Traditional,Mixed,Video Games,Graduate Degree,Middle Eastern,English,Expert,Mixed,Sedentary,Humanism,Single,Low income,Health-conscious,Full-time,Collaborative
Role785,79,nondisclosed,Engineer,Extroverted,Direct,Traveling,High School,Western,French,Expert,Voice,Sedentary,Atheism,In a relationship,High income,Average health,Full-time,Collaborative
Role786,26,nondisclosed,Doctor,Extroverted,Direct,Sports,Graduate Degree,Western,Mandarin,Expert,Voice,Active,Atheism,In a relationship,High income,Average health,Sporadic,Collaborative
Role787,48,female,Engineer,Extroverted,Formal,Traveling,High School,Eastern,English,Novice,Voice,Active,Humanism,Divorced,Low income,Health-conscious,Sporadic,Practical
Role788,43,genderqueer,Artist,Introverted,Direct,Sports,Graduate Degree,Middle Eastern,Spanish,Expert,Video,Active,Environmentalism,Divorced,Middle income,Healthy,Full-time,Analytical
Role789,21,nondisclosed,Teacher,Extroverted,Formal,Video Games,High School,Eastern,French,Expert,Video,Active,Humanism,In a relationship,High income,Average health,Sporadic,Practical
Role790,30,male,Doctor,Traditional,Mixed,Painting,Bachelor,Eastern,French,Novice,Mixed,Active,Atheism,Divorced,Middle income,Health-conscious,Full-time,Practical
Role791,55,female,Scientist,Introverted,Formal,Reading,Bachelor,Eastern,English,Novice,Mixed,Active,Humanism,In a relationship,High income,Average health,Sporadic,Creative
Role792,51,male,Doctor,Innovative,Empathetic,Cooking,Graduate Degree,Western,Mandarin,Intermediate,Voice,Active,Atheism,Divorced,High income,Health-conscious,Sporadic,Analytical
Role793,26,genderqueer,Artist,Introverted,Humorous,Painting,High School,Eastern,Spanish,Novice,Video,Active,Atheism,Divorced,High income,Health-conscious,Sporadic,Collaborative
Role794,36,genderqueer,Engineer,Traditional,Formal,Painting,High School,African,French,Intermediate,Mixed,Sedentary,Islam,Divorced,Low income,Health-conscious,Sporadic,Practical
Role795,77,male,Teacher,Introverted,Direct,Painting,High School,Western,English,Expert,Video,Active,Christianity,Married,Middle income,Average health,Part-time,Practical
Role796,25,nondisclosed,Retired,Innovative,Mixed,Video Games,Bachelor,Western,Spanish,Novice,Text,Sedentary,Islam,Widowed,Low income,Health-conscious,Part-time,Practical
Role797,36,male,Artist,Traditional,Empathetic,Sports,Graduate Degree,Western,English,Intermediate,Video,Sedentary,Environmentalism,Single,Middle income,Health-conscious,Full-time,Analytical
Role798,26,nondisclosed,Teacher,Traditional,Formal,Video Games,Bachelor,Middle Eastern,Spanish,Novice,Voice,Active,Atheism,Divorced,High income,Healthy,Full-time,Analytical
Role799,44,female,Teacher,Traditional,Direct,Sports,Graduate Degree,Western,Spanish,Intermediate,Mixed,Sedentary,Islam,In a relationship,Low income,Healthy,Full-time,Practical
Role800,72,genderqueer,Doctor,Extroverted,Formal,Painting,Bachelor,African,French,Novice,Mixed,Active,Humanism,Widowed,High income,Average health,Full-time,Analytical
Role801,33,nondisclosed,Retired,Introverted,Informal,Painting,High School,Middle Eastern,English,Intermediate,Text,Active,Islam,Widowed,Low income,Healthy,Full-time,Analytical
Role802,72,female,Scientist,Innovative,Informal,Traveling,High School,African,English,Intermediate,Text,Active,Atheism,Single,Middle income,Health-conscious,Full-time,Creative
Role803,74,male,Doctor,Innovative,Empathetic,Traveling,Graduate Degree,Western,Spanish,Intermediate,Text,Active,Humanism,Married,High income,Average health,Part-time,Creative
Role804,29,nondisclosed,Teacher,Innovative,Informal,Video Games,Bachelor,Eastern,Spanish,Expert,Video,Active,Atheism,In a relationship,Low income,Average health,Sporadic,Collaborative
